0	Mathis#NP#0,Moeller#NP#5,
1	0900#NP#2,UTC#NP#13,Tropical#NP#9,Storm#NP#10,Hurricane#NP#7,CDT#NP#5.0,Depression#NP#0,1030#NP#1,Aunt#NP#3,EDT#NP#7,CDT#NP#5,Eight#NP#14,Twelve#NP#2,Sixteen#NP#0,Charley#NP#2.0,1700#NP#5,Darby#NP#10,Carrier#NP#6.0,Thirteen#NP#8,1230#NP#2,Celia#NP#1.0,
2	idiot#NN#4,
3	Rover#NP#3,Acura#NP#6,automaker#NN#8,Fiat#NP#9,manufacturer#NN#11,Honda#NP#6,Isuzu#NP#3,Volkswagen#NP#3,carmaker#NN#6,Cadillac#NP#4.0,Automotive#NP#1,carmaker#NN#2,BMW#NP#4,Audi#NP#7,Subaru#NP#6,Penske#NP#1,Mitsubishi#NP#6,
4	Mackie#NP#5,Nistelrooy#NP#4,
5	Storm#NP#6,Meteorological#NP#2,Named#NP#12,Sister#NP#10,Daughter#NP#12,Moderate#NP#14,Widow#NP#4,Storm#NP#12,Tropical#NP#11,aka#NP#11,Very#NP#3,Wilma#NP#1,Zeta#NP#2,Mother#NP#3,St#NP#8,Finding#NP#13,Olive#NP#5,Inland#NP#16,Being#NP#0,Saint#NP#2,a.k.a.#NP#19,Typhoon#NP#12,Patrice#NP#4,Mount#NP#0,Tornado#NP#0,steals#NP#0,Lethal#NP#14,designated#NP#8,typhoon#NN#3,Warning#NP#10,
6	1130#NP#1,AM#NP#4,1700#NP#8,1230#NP#3,A.D.#NP#9,
7	Mirage#NP#10,Terra#NP#0,
8	Calls#NP#9,Confidential#NP#1,Caller#NP#7.0,Call#NP#20,
9	Cherry#NP#9,Comfort#NP#1.0,
10	Schumann#NP#0,composer#NN#7,cellist#NN#8,Liszt#NP#0,Boulez#NP#1,Covent#NP#0.0,Cello#NP#5.0,EMI#NP#7,Choral#NP#3.0,
11	CASA#NP#8.0,Nikon#NP#12,'S#NP#2,
